user_id,cur_time,space,time,piece,exp,money,item_drop,money_drop
yuhsuan,2024-01-22 23:37:16,夏1,2,75,280: 5.34%,"597,010,480",134,220
nemo3940,2024-01-23 15:33:17,王2,0.5,23,264: 14.55%,"100,592,000",134,174
yuhsuan,2024-01-24 00:11:25,春1,2,85,280: 5.594%,"644,015,200",134,220
lun0024,2024-01-24 00:12:47,夏1,2,92,284: 5.508%,"720,306,780",184,204
nemo3940,2024-01-24 23:35:24,王2,1,34,264: 19.878%,"193,171,070",174,154
yuhsuan,2024-01-25 00:13:52,夏1,2,63,280: 5.234%,"580,061,665",134,220
nemo3940,2024-01-25 00:37:03,王2,1,14,264: 10.343%,84937314,174,154
yuhsuan,2024-01-25 22:02:27,夏秋1,2,52,"280: 1.839%, 281: 3.32%","602,608,081",134,220
nemo3940,2024-01-26 04:25:43,王2,0.5,20,264: 10.96%,101228232,174,180
lun0024,2024-01-26 14:43:44,春1,2,66,284: 3.736%,"470,528,140",124,204
yuhsuan,2024-01-26 16:41:38,春1,2,67,281: 4.94%,"534,700,995",84,160
nemo3940,2024-01-27 01:50:26,不2,0.5,15,265: 11.181%,76604101,174,134
nemo3940,2024-01-29 18:06:35,不2,1,21,265: 18.942%,185454371,208,170
lun0024,2024-01-29 22:08:22,秋1,2,110,284: 3.87%,600542091,254,204
yuhsuan,2024-01-29 23:15:36,秋1,2,77,281: 4.8%,"585,640,234",134,220
lun0024,2024-01-30 12:08:55,秋1,2,100,284: 3.9%,"608,439,219",254,204
yuhsuan,2024-01-31 23:18:49,春1,2,50,281: 3.683%,"458,391,205",134,220
nemo3940,2024-02-02 00:41:37,不2,0.5,12,"265: 6.26%, 266: 2.07%",75107009,208,204
nemo3940,2024-02-03 01:29:04,列1,1,23,266: 16.38%,155010389,208,204
yuhsuan,2024-02-17 23:02:49,冬4,2,46,281: 4.118%,"483,965,268",194,220
yuhsuan,2024-02-18 16:26:21,冬4,2,73,281: 4.281%,"472,424,841",194,220
yuhsuan,2024-02-19 23:43:29,冬4,2,63,282: 4.033%,"432,630,855",194,220
yuhsuan,2024-02-20 23:35:45,冬4,2,69,282: 3.968%,"449,058,154",194,220
nemo3940,2024-02-27 23:29:02,列1,0.5,29,268: 7.547%,91694128,208,204
yuhsuan,2024-02-28 17:06:42,冬4,1.5,46,282: 2.627%,"322,561,709",224,220
yuhsuan,2024-03-02 16:52:53,冬4,2,62,282: 4.023%,"483,996,423",194,220
nemo3940,2024-03-02 23:02:59,列1,0.5,21,269: 11.212%,"100,634,665",228,204
nemo3940,2024-03-03 01:41:16,列1,0.5,10,269: 14.819%,"83,684,759",178,124
yuhsuan,2024-03-11 17:28:47,冬4,2,62,282: 4.033%,"505,230,010",194,220
yuhsuan,2024-03-13 23:35:30,上層6,2,54,283: 5.705%,"492,855,829",214,220
yuhsuan,2024-03-19 15:50:15,上層6,2,66,283: 5.561%,"481,720,669",214,220
